Actual Species,Martinotti,basket,bitufted,chandelier,double-bouquet,neurogliaform
Martinotti,3808,18,87,73,12,3
basket,264,3354,133,68,42,177
bitufted,34,12,3848,0,90,17
chandelier,1,9,0,3992,1,0
double-bouquet,13,234,15,2,3781,26
neurogliaform,15,28,46,1,9,3875
