,01brn_d,02symm_d,03max_BO_d,04mean_BO_d,05depthX_d,06depthY_d,07depthZ_d,08sholl100_d,09sholl200_d,10sholl300_d,11l200_d,12l300_d,13l400_d,14max_PL_d,15min_PL_d,16mean_PL_d,17max_lng_d,18mean_lng_d,19Total_lng_d,20max_lng_d_d,21mean_lng_d_d,22max_D_d,23mean_D_d,24GR2_d,25GR3_d,26max GR_d,27meanGR_d,28above2_d,name,file
7,1.7781512503836436,-0.29266812101321904,1.2787536009528289,0.9457342421284758,2.3830969299490943,2.553895157605228,1.9388698215129867,0.7781512503836436,0.0,0.0,0.3010299956639812,0.0,0.0,2.926042310176848,1.8911005353301176,2.5566793735049664,2.2764431906950438,1.5303162760241902,3.329656825477772,2.363037317375565,1.6566208169161118,0.44283714696795695,-0.18425474365051936,0.9542425094393249,0.6989700043360189,1.1380540508361923,0.2526967156302896,-0.8239087409443188,neurogliaform,NMO_37059
8,1.9344984512435677,-0.14518749501414419,1.3617278360175928,1.1276143201484374,2.2478505669735336,2.508139014908231,2.0409581733842073,0.6989700043360189,0.0,0.0,0.47712125471966244,0.0,0.0,2.7389632903685226,1.813424339035282,2.45623727744141,2.2723237570675763,1.5310962834852258,3.4804862901301385,2.442488566326376,1.7141596754989992,0.5490032573458388,-0.25024658311422054,1.041392685158225,0.7781512503836436,1.3838115138853817,0.21305848188130655,-0.8931057660853426,neurogliaform,NMO_37517
9,2.1072099696478683,-0.30180736599221475,1.4771212547196624,1.1524750774750028,2.37485828006509,2.626021973411722,2.170848203643309,1.3222192947339193,0.6989700043360189,0.0,0.0,0.0,0.0,3.0629153290939626,1.8954065314591917,2.744081013972323,2.2776820641969144,1.6025187594708845,3.7197900551266487,2.366783525201138,1.7165587933097717,0.7092288199936708,-0.11212356331429868,0.8450980400142568,0.6989700043360189,1.9767879899990108,0.37766897905563346,-1.2621119296336116,neurogliaform,NMO_37640
10,1.6532125137753437,-0.21071238349839683,1.2041199826559248,0.9409727855907081,2.199618067707931,2.378543247161644,2.09324653110384,0.7781512503836436,0.0,0.0,0.6020599913279624,0.0,0.0,2.8690265240714803,1.878013858461688,2.6359802572725064,2.2480690902107328,1.647531621794847,3.328772859170434,2.436489895896042,1.8658724733765846,0.3358312531310251,-0.2289797629969069,0.6020599913279624,0.6020599913279624,1.4390159605998958,0.37382116733587845,-1.0511525224473812,neurogliaform,NMO_37623
11,1.6232492903979006,-0.2518281932322038,1.1139433523068367,0.9030899869919435,2.1370374547895126,2.4786819073622355,2.1454450361378057,0.6020599913279624,0.3010299956639812,0.0,0.0,0.0,0.0,2.7572101318101723,1.8824718526987647,2.6140167636151825,2.2257275950519553,1.5767672594638367,3.2299797732391804,2.3253173170389303,1.6553034562824591,0.40909331466129817,-0.07835035827030028,0.3010299956639812,0.3010299956639812,0.6662813928159904,0.07749903062119395,-1.3222192947339193,neurogliaform,NMO_37661
12,1.7634279935629373,-0.2547853050827114,1.1139433523068367,0.8199752111303424,2.263423010867385,2.1572451604751945,1.4940153747571436,0.47712125471966244,0.0,0.0,0.0,0.0,0.0,2.509870005044623,1.6040684886893115,2.2176282552791045,1.9705990151759456,1.4553361835288556,3.2406660185396228,1.9677641093938978,1.4637405179941236,0.5314789292238871,0.08359777021697405,0.47712125471966244,0.3010299956639812,0.8982681686164715,0.17168314047052638,-1.2863067388432747,neurogliaform,NMO_06138
13,1.591064607026499,-0.1252452253167881,1.146128035678238,0.8965787033778183,2.191423066687808,2.298394533712946,2.022799404511688,0.7781512503836436,0.0,0.0,0.0,0.0,0.0,2.7421584658499696,1.9804317048037994,2.502455290150332,2.1222729963660276,1.637981813127681,3.2612311035255814,2.2351977085918473,1.7342930229787537,0.4129822284476112,-0.08094159357497144,0.6020599913279624,0.47712125471966244,1.350254964647878,0.3561292607597676,-0.9890046156985368,neurogliaform,NMO_37625
14,1.6989700043360187,-0.17961221894904797,1.3010299956639813,1.0308363967942822,2.041392685158225,2.317979808761542,1.9564085711958326,0.3010299956639812,0.0,0.0,0.0,0.0,0.0,2.7850701686866954,1.638412284720826,2.43388667434721,2.2952038344592514,1.4769784999797932,3.201254369580582,2.593063832821712,1.6761768942010453,0.3018523466406523,-0.27203453408039074,0.7781512503836436,0.47712125471966244,1.0109327558407863,0.14874453743814767,-0.9208187539523752,neurogliaform,NMO_37720
15,1.7075701760979363,-0.11134656331873949,1.3222192947339193,1.0435805713064006,2.1760623051250794,2.308414999096672,1.9419584165308137,0.3010299956639812,0.0,0.0,0.0,0.0,0.0,2.800259917508887,1.772484219038689,2.5491126156605435,2.0897116422198776,1.5417311165140977,3.274124876337066,2.1885247879257914,1.6509510126942508,0.1960791256195668,-0.17006969541517808,0.9030899869919435,0.47712125471966244,0.7363866842352107,0.1688954247906857,-0.8044801891059927,neurogliaform,NMO_37061
16,1.6434526764861874,-0.3079788556193091,1.255272505103306,0.9944201226191633,2.425485310708032,2.792440719978413,1.911104317804036,0.9542425094393249,0.7781512503836436,0.3010299956639812,0.6020599913279624,0.0,0.0,3.08682971054848,1.6926244947058786,2.7836581427627634,2.3988056057518903,1.7973528397193923,3.46945069765511,2.4594535235823227,1.8484443797522545,0.40453870771606726,-0.026718886247598172,0.7781512503836436,0.6020599913279624,0.7246410806225699,0.12138084919286508,-0.8653014261025438,chandelier,NMO_37247
17,1.9138138523837167,-0.30717395675257997,1.3424226808222062,1.0353119953393366,2.0653929615619915,2.6884910119843313,2.067517201903675,0.6020599913279624,0.3010299956639812,0.0,0.0,0.0,0.0,2.983070703304956,1.7377654102925844,2.619948274032703,2.3659585620485863,1.3590460945063503,3.288465020220643,2.3040379368866266,1.4017640655936086,0.26374381306367534,-0.11491371093570887,1.3617278360175928,0.6020599913279624,0.7374109203555056,0.24586108881227742,-0.5520860163661238,chandelier,NMO_37424
18,1.462397997898956,-0.19388158004950953,1.0791812460476249,0.8170693164140133,2.1965630351480514,2.4680961351210637,2.04883008652835,1.146128035678238,0.0,0.0,0.0,0.0,0.0,2.754388468243532,1.4761878353649964,2.536042663512449,2.1950463622148466,1.7430100507012656,3.2481600290211716,2.231601046107266,1.7530884186937534,0.4673227162626187,0.07038323721935004,0.3010299956639812,0.3010299956639812,0.6069699720772357,0.13190265708993731,-1.1613680022349748,chandelier,NMO_37763
