Actual Species,Martinotti,basket,bitufted,chandelier,double-bouquet,neurogliaform
Martinotti,2994,264,91,48,540,76
basket,468,2809,282,87,78,287
bitufted,162,38,3349,0,411,33
chandelier,0,184,0,3817,16,3
double-bouquet,213,398,192,8,3090,171
neurogliaform,83,62,177,0,40,3715
