Actual Species,Martinotti,basket,bitufted,chandelier,double-bouquet,neurogliaform
Martinotti,2913,208,89,20,680,168
basket,312,2638,234,217,10,416
bitufted,160,5,3459,0,335,110
chandelier,2,281,0,3561,0,184
double-bouquet,430,300,246,2,2917,133
neurogliaform,22,254,233,68,224,3236
