Actual Species,Martinotti,basket,bitufted,chandelier,double-bouquet,neurogliaform
Martinotti,3755,45,215,60,5,1
basket,307,3135,218,126,131,154
bitufted,7,20,3734,0,123,100
chandelier,7,36,0,3760,1,143
double-bouquet,27,201,105,3,3614,34
neurogliaform,11,114,132,2,185,3526
