Actual Species,Martinotti,basket,bitufted,chandelier,double-bouquet,neurogliaform
Martinotti,3192,180,185,189,195,41
basket,398,2547,268,369,224,197
bitufted,14,97,3366,87,368,68
chandelier,100,173,285,3046,124,254
double-bouquet,41,98,337,173,3169,207
neurogliaform,73,175,167,81,419,3125
